lang,type,length,avg_time_s
C,double,100,0.000001
C,float,100,0.000001
C,int,100,0.000001
C,short,100,0.000001
C,signed char,100,0.000000
C,double,1000,0.000008
C,float,1000,0.000008
C,int,1000,0.000004
C,short,1000,0.000004
C,signed char,1000,0.000004
C,double,10000,0.000078
C,float,10000,0.000075
C,int,10000,0.000034
C,short,10000,0.000034
C,signed char,10000,0.000034
C,double,100000,0.000606
C,float,100000,0.000599
C,int,100000,0.000251
C,short,100000,0.000163
C,signed char,100000,0.000192
C,double,1000000,0.003484
C,float,1000000,0.004098
C,int,1000000,0.003431
C,short,1000000,0.002641
C,signed char,1000000,0.001722
C,double,10000000,0.043258
C,float,10000000,0.031597
C,int,10000000,0.018629
C,short,10000000,0.017226
C,signed char,10000000,0.016576
C,double,100000000,0.340880
C,float,100000000,0.294847
C,int,100000000,0.161227
C,short,100000000,0.154632
C,signed char,100000000,0.161391
