type,N,C-Ofast,C-native,Java,Java-Vector
short,10,0.21400000000000002,0.21600000000000003,0.604,0.5780000000000001
short,100,0.13119999999999998,0.106,0.2371,0.24230000000000002
short,1000,0.13796,0.10645,0.22503,0.21897
short,10000,0.13182,0.10686,0.214435,0.22910500000000003
short,100000,0.1352,0.10434,0.21348,0.225865
short,1000000,0.155745,0.112075,0.232915,0.229935
short,10000000,0.19163,0.165795,0.27858,0.27759
short,100000000,0.188819,0.179982,0.270314,0.274737
int,10,0.309,0.225,0.589,0.5780000000000001
int,100,0.3014,0.0713,0.11259999999999999,0.11869999999999999
int,1000,0.24652000000000002,0.06914000000000001,0.10812000000000001,0.11476
int,10000,0.221975,0.082785,0.10455,0.11012999999999999
int,100000,0.221135,0.08096,0.105615,0.113025
int,1000000,0.24089,0.16652,0.13117,0.153175
int,10000000,0.38004,0.29826,0.2944,0.305255
int,100000000,0.373662,0.283825,0.289596,0.297419
float,10,0.322,0.28500000000000003,0.8019999999999999,1.1300000000000001
float,100,0.3274,0.1734,0.3151,0.0906
float,1000,0.3256,0.16371,0.40245,0.05399
float,10000,0.32595,0.161295,0.41113999999999995,0.066275
float,100000,0.32513,0.167705,0.418535,0.059545
float,1000000,0.34553,0.19337,0.426575,0.127685
float,10000000,0.41722,0.34393,0.47975,0.287995
float,100000000,0.411237,0.305316,0.471956,0.260488
double,10,0.193,0.21600000000000003,0.592,0.5599999999999999
double,100,0.1251,0.08289999999999999,0.24309999999999998,0.0859
double,1000,0.19619,0.09362999999999999,0.38777999999999996,0.09318000000000001
double,10000,0.21405500000000002,0.112605,0.42744,0.132785
double,100000,0.26352,0.219085,0.418,0.236365
double,1000000,0.358615,0.31922,0.459705,0.266885
double,10000000,0.561395,0.527985,0.627105,0.512615
double,100000000,0.549368,0.496145,0.613099,0.509676
signed_char,10,0.305,0.315,0.5650000000000001,0.602
signed_char,100,0.17300000000000001,0.1613,0.2473,0.2586
signed_char,1000,0.17128,0.1646,0.21947,0.22476
signed_char,10000,0.17215,0.164925,0.23479499999999998,0.22949499999999998
signed_char,100000,0.17442,0.16398,0.21564,0.22122
signed_char,1000000,0.184875,0.168085,0.21567,0.220635
signed_char,10000000,0.18116,0.18698,0.232525,0.22936
signed_char,100000000,0.181253,0.163487,0.23287,0.232804
