lang,type,N,mean_avg_ns,runs
JavaVector,double,10,5.644000,5
JavaVector,double,100,10.208000,5
JavaVector,double,1000,95.780000,5
JavaVector,double,10000,1346.940000,5
JavaVector,double,100000,23812.400000,5
JavaVector,double,1000000,283032.000000,5
JavaVector,double,10000000,5162530.000000,5
JavaVector,double,100000000,50480620.000000,5
JavaVector,float,10,11.168000,5
JavaVector,float,100,13.838000,5
JavaVector,float,1000,56.880000,5
JavaVector,float,10000,678.230000,5
JavaVector,float,100000,6100.400000,5
JavaVector,float,1000000,125707.000000,5
JavaVector,float,10000000,2875970.000000,5
JavaVector,float,100000000,25956660.000000,5
JavaVector,int,10,5.862000,5
JavaVector,int,100,11.846000,5
JavaVector,int,1000,112.926000,5
JavaVector,int,10000,1094.660000,5
JavaVector,int,100000,11230.100000,5
JavaVector,int,1000000,150745.000000,5
JavaVector,int,10000000,3039480.000000,5
JavaVector,int,100000000,29582560.000000,5
JavaVector,short,10,5.746000,5
JavaVector,short,100,24.526000,5
JavaVector,short,1000,226.878000,5
JavaVector,short,10000,2273.940000,5
JavaVector,short,100000,22399.300000,5
JavaVector,short,1000000,231062.000000,5
JavaVector,short,10000000,2787000.000000,5
JavaVector,short,100000000,28000300.000000,5
JavaVector,signed_char,10,6.140000,5
JavaVector,signed_char,100,26.046000,5
JavaVector,signed_char,1000,224.788000,5
JavaVector,signed_char,10000,2267.250000,5
JavaVector,signed_char,100000,22090.100000,5
JavaVector,signed_char,1000000,223032.000000,5
JavaVector,signed_char,10000000,2340510.000000,5
JavaVector,signed_char,100000000,23451460.000000,5
