lang,type,N,reps,total_ns,avg_ns,checksum
JavaVector,signed_char,10,2000000,12043800,6.02,-374030363170000
JavaVector,signed_char,100,200000,5171700,25.86,-374030292970000
JavaVector,signed_char,1000,20000,4628900,231.45,-374030273470000
JavaVector,signed_char,10000,2000,4408600,2204.30,-374030284084000
JavaVector,signed_char,100000,200,4382400,21912.00,-374030285408400
JavaVector,signed_char,1000000,20,4374000,218700.00,-374030285402940
JavaVector,signed_char,10000000,2,4894000,2447000.00,-374030286183352
JavaVector,signed_char,100000000,1,23280400,23280400.00,-374030286567259
JavaVector,short,10,2000000,11563200,5.78,-373052112567259
JavaVector,short,100,200000,4773100,23.87,-373001594167259
JavaVector,short,1000,20000,4337700,216.89,-373096496367259
JavaVector,short,10000,2000,4348300,2174.15,-373060137543259
JavaVector,short,100000,200,4545800,22729.00,-373023809981059
JavaVector,short,1000000,20,4494000,224700.00,-373026410792699
JavaVector,short,10000000,2,5551800,2775900.00,-373024098547367
JavaVector,short,100000000,1,27473700,27473700.00,-373020377672475
JavaVector,int,10,2000000,11833100,5.92,-1605160608923672475
JavaVector,int,100,200000,2433000,12.17,-1576671207743672475
JavaVector,int,1000,20000,2295200,114.76,-1333369834322432475
JavaVector,int,10000,2000,2259500,1129.75,-1341280413219386475
JavaVector,int,100000,200,2332400,11662.00,-1348761053089024275
JavaVector,int,1000000,20,3103500,155175.00,-1348323743202163375
JavaVector,int,10000000,2,6207100,3103550.00,-1351463425100254495
JavaVector,int,100000000,1,28791500,28791500.00,-1352371752719832650
JavaVector,float,10,2000000,23246400,11.62,-2399980.996720
JavaVector,float,100,200000,5435100,27.18,-2113224.383820
JavaVector,float,1000,20000,1079700,53.99,-2330813.724030
JavaVector,float,10000,2000,1183400,591.70,-2279918.437470
JavaVector,float,100000,200,1174400,5872.00,-2278106.209648
JavaVector,float,1000000,20,2034900,101745.00,-2282197.039116
JavaVector,float,10000000,2,5745600,2872800.00,-2279632.971733
JavaVector,float,100000000,1,24693300,24693300.00,-2280508.134514
JavaVector,double,10,2000000,11082800,5.54,-1934530.177501
JavaVector,double,100,200000,1606900,8.03,-1971725.008285
JavaVector,double,1000,20000,1792000,89.60,-1889264.033581
JavaVector,double,10000,2000,2475200,1237.60,-1838162.806768
JavaVector,double,100000,200,4655200,23276.00,-1847050.242210
JavaVector,double,1000000,20,4507500,225375.00,-1836365.676799
JavaVector,double,10000000,2,9776200,4888100.00,-1836016.392344
JavaVector,double,100000000,1,51404500,51404500.00,-1830589.623981
